match_id,date,team,opponent,tournament,tournament_category,home_or_away,neutral,goals_for,goals_against,is_world_cup,world_cup_year,year,goal_difference,result,win,draw,loss,points,dominant_win
41618,2018-06-18,South Korea,Sweden,FIFA World Cup,World Cup (final tournament),away,True,0,1,True,2018,2018,-1,loss,False,False,True,0,False
41618,2018-06-18,Sweden,South Korea,FIFA World Cup,World Cup (final tournament),home,True,1,0,True,2018,2018,1,win,True,False,False,3,False
41619,2018-06-18,Belgium,Panama,FIFA World Cup,World Cup (final tournament),home,True,3,0,True,2018,2018,3,win,True,False,False,3,True
41619,2018-06-18,Panama,Belgium,FIFA World Cup,World Cup (final tournament),away,True,0,3,True,2018,2018,-3,loss,False,False,True,0,False
41620,2018-06-19,Colombia,Japan,FIFA World Cup,World Cup (final tournament),home,True,1,2,True,2018,2018,-1,loss,False,False,True,0,False
41620,2018-06-19,Japan,Colombia,FIFA World Cup,World Cup (final tournament),away,True,2,1,True,2018,2018,1,win,True,False,False,3,False
41621,2018-06-19,Poland,Senegal,FIFA World Cup,World Cup (final tournament),home,True,1,2,True,2018,2018,-1,loss,False,False,True,0,False
41621,2018-06-19,Senegal,Poland,FIFA World Cup,World Cup (final tournament),away,True,2,1,True,2018,2018,1,win,True,False,False,3,False
41622,2018-06-19,Egypt,Russia,FIFA World Cup,World Cup (final tournament),away,False,1,3,True,2018,2018,-2,loss,False,False,True,0,False
41622,2018-06-19,Russia,Egypt,FIFA World Cup,World Cup (final tournament),home,False,3,1,True,2018,2018,2,win,True,False,False,3,False
41623,2018-06-20,Morocco,Portugal,FIFA World Cup,World Cup (final tournament),away,True,0,1,True,2018,2018,-1,loss,False,False,True,0,False
41623,2018-06-20,Portugal,Morocco,FIFA World Cup,World Cup (final tournament),home,True,1,0,True,2018,2018,1,win,True,False,False,3,False
41624,2018-06-20,Saudi Arabia,Uruguay,FIFA World Cup,World Cup (final tournament),away,True,0,1,True,2018,2018,-1,loss,False,False,True,0,False
41624,2018-06-20,Uruguay,Saudi Arabia,FIFA World Cup,World Cup (final tournament),home,True,1,0,True,2018,2018,1,win,True,False,False,3,False
41625,2018-06-20,Iran,Spain,FIFA World Cup,World Cup (final tournament),home,True,0,1,True,2018,2018,-1,loss,False,False,True,0,False
41625,2018-06-20,Spain,Iran,FIFA World Cup,World Cup (final tournament),away,True,1,0,True,2018,2018,1,win,True,False,False,3,False
41626,2018-06-21,France,Peru,FIFA World Cup,World Cup (final tournament),home,True,1,0,True,2018,2018,1,win,True,False,False,3,False
41626,2018-06-21,Peru,France,FIFA World Cup,World Cup (final tournament),away,True,0,1,True,2018,2018,-1,loss,False,False,True,0,False
41627,2018-06-21,Argentina,Croatia,FIFA World Cup,World Cup (final tournament),home,True,0,3,True,2018,2018,-3,loss,False,False,True,0,False
41627,2018-06-21,Croatia,Argentina,FIFA World Cup,World Cup (final tournament),away,True,3,0,True,2018,2018,3,win,True,False,False,3,True
41628,2018-06-21,Australia,Denmark,FIFA World Cup,World Cup (final tournament),away,True,1,1,True,2018,2018,0,draw,False,True,False,1,False
41628,2018-06-21,Denmark,Australia,FIFA World Cup,World Cup (final tournament),home,True,1,1,True,2018,2018,0,draw,False,True,False,1,False
41629,2018-06-22,Brazil,Costa Rica,FIFA World Cup,World Cup (final tournament),home,True,2,0,True,2018,2018,2,win,True,False,False,3,False
41629,2018-06-22,Costa Rica,Brazil,FIFA World Cup,World Cup (final tournament),away,True,0,2,True,2018,2018,-2,loss,False,False,True,0,False
41630,2018-06-22,Iceland,Nigeria,FIFA World Cup,World Cup (final tournament),away,True,0,2,True,2018,2018,-2,loss,False,False,True,0,False
41630,2018-06-22,Nigeria,Iceland,FIFA World Cup,World Cup (final tournament),home,True,2,0,True,2018,2018,2,win,True,False,False,3,False
41631,2018-06-22,Serbia,Switzerland,FIFA World Cup,World Cup (final tournament),home,True,1,2,True,2018,2018,-1,loss,False,False,True,0,False
41631,2018-06-22,Switzerland,Serbia,FIFA World Cup,World Cup (final tournament),away,True,2,1,True,2018,2018,1,win,True,False,False,3,False
41632,2018-06-23,Belgium,Tunisia,FIFA World Cup,World Cup (final tournament),home,True,5,2,True,2018,2018,3,win,True,False,False,3,True
41632,2018-06-23,Tunisia,Belgium,FIFA World Cup,World Cup (final tournament),away,True,2,5,True,2018,2018,-3,loss,False,False,True,0,False
41633,2018-06-23,Mexico,South Korea,FIFA World Cup,World Cup (final tournament),away,True,2,1,True,2018,2018,1,win,True,False,False,3,False
41633,2018-06-23,South Korea,Mexico,FIFA World Cup,World Cup (final tournament),home,True,1,2,True,2018,2018,-1,loss,False,False,True,0,False
41634,2018-06-23,Germany,Sweden,FIFA World Cup,World Cup (final tournament),home,True,2,1,True,2018,2018,1,win,True,False,False,3,False
41634,2018-06-23,Sweden,Germany,FIFA World Cup,World Cup (final tournament),away,True,1,2,True,2018,2018,-1,loss,False,False,True,0,False
41635,2018-06-24,Colombia,Poland,FIFA World Cup,World Cup (final tournament),away,True,3,0,True,2018,2018,3,win,True,False,False,3,True
41635,2018-06-24,Poland,Colombia,FIFA World Cup,World Cup (final tournament),home,True,0,3,True,2018,2018,-3,loss,False,False,True,0,False
41636,2018-06-24,England,Panama,FIFA World Cup,World Cup (final tournament),home,True,6,1,True,2018,2018,5,win,True,False,False,3,True
41636,2018-06-24,Panama,England,FIFA World Cup,World Cup (final tournament),away,True,1,6,True,2018,2018,-5,loss,False,False,True,0,False
