scorer_rank,scorer,team,goals,penalties,own_goals,first_goal_date,latest_goal_date,scorer_label
12506,Joaquim Santos,United States Virgin Islands,1,0,0,2000-03-19,2000-03-19,12506. Joaquim Santos
12507,Kelvyn Peters,Dominica,1,0,0,2000-03-19,2000-03-19,12507. Kelvyn Peters
12508,Luis Omar Sanchez,Dominican Republic,1,0,0,2000-03-19,2000-03-19,12508. Luis Omar Sanchez
12509,Mario Méndez,Panama,1,0,0,2000-03-19,2000-03-19,12509. Mario Méndez
12510,Roosevelt Desir,Haiti,1,0,0,2000-03-19,2000-03-19,12510. Roosevelt Desir
12511,Stanton Lewis,Bermuda,1,0,0,2000-03-19,2000-03-19,12511. Stanton Lewis
12512,Tokia Russell,Bermuda,1,0,0,2000-03-19,2000-03-19,12512. Tokia Russell
12513,Vladimir Gregorio,Dominican Republic,1,0,0,2000-03-19,2000-03-19,12513. Vladimir Gregorio
12514,Wayne Dyer,Montserrat,1,0,0,2000-03-19,2000-03-19,12514. Wayne Dyer
12515,Angelo Martina,Curaçao,1,0,0,2000-03-18,2000-03-18,12515. Angelo Martina
12516,Carlos Geerman,Puerto Rico,1,0,1,2000-03-18,2000-03-18,12516. Carlos Geerman
12517,Franklyn Baptiste,Grenada,1,0,0,2000-03-18,2000-03-18,12517. Franklyn Baptiste
12518,Mark Mackay,Aruba,1,0,0,2000-03-18,2000-03-18,12518. Mark Mackay
12519,Michael Crawford,Saint Kitts and Nevis,1,0,0,2000-03-18,2000-03-18,12519. Michael Crawford
12520,Norman Forde,Barbados,1,0,0,2000-03-18,2000-03-18,12520. Norman Forde
12521,Santana Vander Kross,Aruba,1,0,0,2000-03-18,2000-03-18,12521. Santana Vander Kross
12522,Carlos Astondoa,Puerto Rico,1,0,0,2000-03-11,2000-03-11,12522. Carlos Astondoa
12523,Oswalding Mackay,Aruba,1,0,0,2000-03-11,2000-03-11,12523. Oswalding Mackay
12524,Rafael Santana,Aruba,1,0,0,2000-03-11,2000-03-11,12524. Rafael Santana
12525,Ariel Álvarez,Cuba,1,0,0,2000-03-05,2000-03-05,12525. Ariel Álvarez
12526,Carlos Reyes,Dominican Republic,1,0,0,2000-03-05,2000-03-05,12526. Carlos Reyes
12527,George Moussis,Bahamas,1,0,0,2000-03-05,2000-03-05,12527. George Moussis
12528,Miguel Gandara,Cuba,1,0,0,2000-03-05,2000-03-05,12528. Miguel Gandara
12529,Miguel Pérez,Dominican Republic,1,0,0,2000-03-05,2000-03-05,12529. Miguel Pérez
12530,Paul Cam,Bermuda,1,0,0,2000-03-05,2000-03-05,12530. Paul Cam
12531,Renne Regis,Saint Lucia,1,0,0,2000-03-05,2000-03-05,12531. Renne Regis
12532,Roberto Guadalupe Martínez,El Salvador,1,0,0,2000-03-05,2000-03-05,12532. Roberto Guadalupe Martínez
12533,Serguei Prado,Cuba,1,0,0,2000-03-05,2000-03-05,12533. Serguei Prado
12534,Marcial Salazar,Colombia,1,0,1,2000-02-23,2000-02-23,12534. Marcial Salazar
12535,Mickey Trotman,Trinidad and Tobago,1,0,0,2000-02-20,2000-02-20,12535. Mickey Trotman
12536,Richard Hastings,Canada,1,0,0,2000-02-20,2000-02-20,12536. Richard Hastings
12537,Chris Armas,United States,1,0,0,2000-02-19,2000-02-19,12537. Chris Armas
12538,Reynaldo Clavasquín,Honduras,1,0,0,2000-02-19,2000-02-19,12538. Reynaldo Clavasquín
12539,Waldir Sáenz,Peru,1,0,0,2000-02-19,2000-02-19,12539. Waldir Sáenz
12540,Emilio Mora,Mexico,1,0,0,2000-02-17,2000-02-17,12540. Emilio Mora
12541,Erick Miranda,Guatemala,1,0,0,2000-02-17,2000-02-17,12541. Erick Miranda
12542,David Nakhid,Trinidad and Tobago,1,0,0,2000-02-15,2000-02-15,12542. David Nakhid
