team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_goal_differential,points,dominant_wins,win_rate,draw_rate,loss_rate,avg_goal_diff,goals_scored_per_match,goals_conceded_per_match,points_per_match,dominant_win_rate
Cameroon,616,271,192,153,866,640,226,1005,59,0.43993506493506496,0.3116883116883117,0.2483766233766234,0.36688311688311687,1.405844155844156,1.0389610389610389,1.6314935064935066,0.09577922077922078
German DR,298,140,66,92,506,361,145,486,38,0.4697986577181208,0.2214765100671141,0.3087248322147651,0.4865771812080537,1.6979865771812082,1.2114093959731544,1.6308724832214765,0.12751677852348994
Ukraine,336,151,94,91,472,356,116,547,31,0.4494047619047619,0.27976190476190477,0.2708333333333333,0.34523809523809523,1.4047619047619047,1.0595238095238095,1.6279761904761905,0.09226190476190477
Scotland,849,400,182,267,1446,1049,397,1382,121,0.4711425206124853,0.2143698468786808,0.31448763250883394,0.46760895170789163,1.7031802120141342,1.2355712603062425,1.6277974087161367,0.1425206124852768
Hungary,1004,470,222,312,2006,1481,525,1632,168,0.4681274900398406,0.22111553784860558,0.3107569721115538,0.5229083665338645,1.99800796812749,1.4750996015936255,1.6254980079681276,0.16733067729083664
Zambia,793,358,203,232,1234,851,383,1277,101,0.4514501891551072,0.25598991172761665,0.29255989911727615,0.48297604035308955,1.5561160151324085,1.073139974779319,1.610340479192938,0.1273644388398487
Serbia,346,155,89,102,530,374,156,554,43,0.4479768786127168,0.25722543352601157,0.2947976878612717,0.4508670520231214,1.5317919075144508,1.0809248554913296,1.6011560693641618,0.12427745664739884
Tunisia,676,296,189,191,974,684,290,1077,84,0.4378698224852071,0.27958579881656803,0.28254437869822485,0.4289940828402367,1.4408284023668638,1.0118343195266273,1.5931952662721893,0.1242603550295858
Denmark,872,401,184,287,1585,1172,413,1387,137,0.4598623853211009,0.21100917431192662,0.3291284403669725,0.4736238532110092,1.8176605504587156,1.3440366972477065,1.5905963302752293,0.15711009174311927
Czechoslovakia,520,236,119,165,984,721,263,827,83,0.45384615384615384,0.22884615384615384,0.3173076923076923,0.5057692307692307,1.8923076923076922,1.3865384615384615,1.5903846153846153,0.1596153846153846
Yugoslavia,483,223,98,162,942,756,186,767,73,0.4616977225672878,0.2028985507246377,0.33540372670807456,0.38509316770186336,1.950310559006211,1.565217391304348,1.587991718426501,0.15113871635610765
Panjab,19,9,3,7,54,30,24,30,6,0.47368421052631576,0.15789473684210525,0.3684210526315789,1.263157894736842,2.8421052631578947,1.5789473684210527,1.5789473684210527,0.3157894736842105
Chameria,7,3,2,2,14,8,6,11,2,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.8571428571428571,2.0,1.1428571428571428,1.5714285714285714,0.2857142857142857
Martinique,331,145,85,101,586,431,155,520,49,0.4380664652567976,0.256797583081571,0.30513595166163143,0.46827794561933533,1.770392749244713,1.3021148036253776,1.5709969788519638,0.14803625377643503
Uruguay,968,427,239,302,1530,1176,354,1520,112,0.44111570247933884,0.246900826446281,0.3119834710743802,0.365702479338843,1.5805785123966942,1.2148760330578512,1.5702479338842976,0.11570247933884298
Romania,764,334,194,236,1236,975,261,1196,96,0.43717277486910994,0.25392670157068065,0.3089005235602094,0.3416230366492147,1.617801047120419,1.2761780104712042,1.5654450261780104,0.1256544502617801
Menorca,25,11,6,8,56,32,24,39,7,0.44,0.24,0.32,0.96,2.24,1.28,1.56,0.28
Costa Rica,722,316,178,228,1237,852,385,1126,109,0.4376731301939058,0.24653739612188366,0.3157894736842105,0.5332409972299169,1.7132963988919667,1.18005540166205,1.559556786703601,0.15096952908587258
Belgium,851,380,181,290,1543,1290,253,1321,125,0.44653349001175086,0.21269095182138661,0.3407755581668625,0.2972972972972973,1.8131609870740306,1.5158636897767332,1.5522914218566393,0.14688601645123384
Poland,890,384,224,282,1497,1197,300,1376,114,0.4314606741573034,0.251685393258427,0.31685393258426964,0.33707865168539325,1.6820224719101124,1.344943820224719,1.5460674157303371,0.12808988764044943
United States,788,350,161,277,1196,1044,152,1211,101,0.44416243654822335,0.20431472081218274,0.35152284263959394,0.19289340101522842,1.517766497461929,1.3248730964467006,1.5368020304568528,0.1281725888324873
Suriname,399,173,93,133,750,565,185,612,69,0.43358395989974935,0.23308270676691728,0.3333333333333333,0.46365914786967416,1.8796992481203008,1.4160401002506267,1.5338345864661653,0.17293233082706766
North Korea,390,162,106,122,628,435,193,592,55,0.4153846153846154,0.2717948717948718,0.3128205128205128,0.4948717948717949,1.6102564102564103,1.1153846153846154,1.5179487179487179,0.14102564102564102
